track_id,k,radius,gps_error
115347710,2,0.001,0.001
115396430,2,0.001,0.001
115406869,2,0.001,0.001
115411909,2,0.001,0.001
115415523,2,0.001,0.001
115419462,2,0.001,0.001
115419487,2,0.001,0.001
115419539,2,0.001,0.001
115419562,2,0.001,0.001
115419589,2,0.001,0.001
115419690,2,0.001,0.001
115419738,2,0.001,0.001
115420031,2,0.001,0.001
115420037,2,0.001,0.001
115420039,2,0.001,0.001
115420137,2,0.001,0.001
115420262,2,0.001,0.001
115424618,2,0.001,0.001
115429237,2,0.001,0.001
115484341,2,0.001,0.001
115537812,2,0.001,0.001
115555882,2,0.001,0.001
115560771,2,0.001,0.001
115577815,2,0.001,0.001
115628513,2,0.001,0.001
115634339,2,0.001,0.001
115639784,2,0.001,0.001
